,peak_id,peak_name,peak_alternative_name,height_metres,climbing_status,first_ascent_year,first_ascent_country,first_ascent_expedition_id,location,region,latitude,longitude
431,GHYN,Ghyun Himal I,Unknown,6110,Unclimbed,,Unknown,Unknown,Mukut/Mustang,Dhaulagiri-Mukut,,
432,GORH,Gorakh Himal,Unknown,6198,Unclimbed,,Unknown,Unknown,Nalakankar/Chandi/Changla,Far West-Kanjiroba,29.804933650000002,82.2025299286638
433,HONK,Hongku,"Hongku Chuli Nup, Honku, Sura Peak",6764,Climbed,2015.0,France,HONK15301,Khumbu,Khumbu-Rolwaling-Makalu,,
434,KARK,Karko,Unknown,6015,Unclimbed,,Unknown,Unknown,Saipal,Far West-Kanjiroba,28.5687025,95.0570261
435,KARS,Karsang Kang,Kharsang,6225,Climbed,2008.0,France,KARS08301,Damodar,Annapurna-Damodar-Peri,,
436,KHAY,Khayang,Unknown,6186,Unclimbed,,Unknown,Unknown,Manaslu/Mansiri,Manaslu-Ganesh,28.6334205,84.7134244
437,GYLZ,Gyalzen Peak,Gyaltsen Peak,6151,Climbed,2019.0,Nepal,GYLZ19101,Jugal,Langtang-Jugal,,
438,LSAM,Lungsampa,"Lung Sampa, Lumsumna",6500,Climbed,2014.0,Spain,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
439,MERS,Mera South,Unknown,6064,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,7.2723152,36.3315245
440,PASH,Pashuwo,Pashubo,6177,Unclimbed,,Unknown,Unknown,Ganesh/Shringi,Manaslu-Ganesh,28.5327541,85.1663861
441,SATO,Sat Peak,Sato Peak,6164,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,45.136294,13.9404374
442,TSKP,Tso Karpo,Unknown,6518,Unclimbed,,Unknown,Unknown,Kanjiroba,Far West-Kanjiroba,28.7131787,93.55796649032814
443,SPH2,Sharphu II,Tanga II,6328,Climbed,201.0,USA,SPH218301,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
444,SPH3,Sharphu III,Marson,6220,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
445,SPH4,Sharphu IV,Nupchu,6172,Climbed,1962.0,Japan,SPH462101,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
446,SPH5,Sharphu V,Tanga III,6158,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
447,SPH6,Sharphu VI,Unknown,6076,Unclimbed,,Unknown,Unknown,Janak/Ohmi Kangri,Kangchenjunga-Janak,,
448,MNSS,Mansail South,Manshail South,6248,Unclimbed,,Unknown,Unknown,Mukut/Mustang,Dhaulagiri-Mukut,,
449,GDNG,Gave Ding,Unknown,6581,Climbed,2015.0,UK,GDNG15301,Unknown,Unknown,,
450,NGO3,Ngojumba Kang III,Hillary Peak,7681,Unclimbed,,Unknown,Unknown,Khumbu,Khumbu-Rolwaling-Makalu,,
451,KIMS,Kimshung,"Kinshung, Tsangbu Ri",6781,Unclimbed,,Unknown,Unknown,Langtang,Langtang-Jugal,28.2722575,85.5526252
452,PAWR,Pawar Central,Chaar Baatsa,6621,Climbed,2015.0,France,PAWR15101,Peri,Annapurna-Damodar-Peri,,
453,NGOR,Nagoru,Unknown,6165,Climbed,2016.0,"Austria, Nepal",NGOR16301,Peri,Annapurna-Damodar-Peri,,
454,SALD,Saldim,Unknown,6374,Unclimbed,,Unknown,Unknown,Makalu,Khumbu-Rolwaling-Makalu,27.8225338,87.169512
455,LANY,Langtang Yubra,Yubra Himal,6048,Unclimbed,2018.0,"Australia, Netherands, Nepal",LANY18301,Langtang,Langtang-Jugal,,
